timestamp,hour,day_of_week,baseline_demand,weather,traffic,event,total_demand,optimal_price
01-01-2023 00:00,0,6,7,2,23,0,5,2
01-01-2023 01:00,1,6,4,1,1,0,5,2.56
01-01-2023 02:00,2,6,3,0,78,0,3,2.93
01-01-2023 03:00,3,6,3,2,38,0,2,2.22
01-01-2023 04:00,4,6,7,0,71,0,7,2.95
01-01-2023 05:00,5,6,16,1,96,0,22,5.15
01-01-2023 06:00,6,6,9,0,76,0,9,2.59
01-01-2023 07:00,7,6,18,0,57,0,18,3.96
01-01-2023 08:00,8,6,22,1,99,0,30,5.24
01-01-2023 09:00,9,6,27,2,1,0,19,3.49
01-01-2023 10:00,10,6,16,2,82,0,13,3.06
01-01-2023 11:00,11,6,20,0,81,0,23,4.96
01-01-2023 12:00,12,6,17,0,77,0,17,3.68
01-01-2023 13:00,13,6,19,1,58,0,23,4.84
01-01-2023 14:00,14,6,20,0,13,0,20,4.57
01-01-2023 15:00,15,6,9,0,9,0,9,2.77
01-01-2023 16:00,16,6,31,0,33,0,31,6.04
01-01-2023 17:00,17,6,25,0,20,0,25,5.15
01-01-2023 18:00,18,6,35,0,20,0,35,4.21
01-01-2023 19:00,19,6,16,1,29,0,19,3.53
01-01-2023 20:00,20,6,15,1,13,0,18,3.85
01-01-2023 21:00,21,6,19,1,42,0,23,4.48
01-01-2023 22:00,22,6,2,0,36,0,2,2.53
01-01-2023 23:00,23,6,5,1,26,0,6,2.92
02-01-2023 00:00,0,0,2,0,70,0,2,2.58
02-01-2023 01:00,1,0,5,0,42,0,5,2
02-01-2023 02:00,2,0,4,0,67,0,4,2.18
02-01-2023 03:00,3,0,2,2,50,0,1,2
02-01-2023 04:00,4,0,8,1,51,0,10,3.25
02-01-2023 05:00,5,0,19,0,95,0,22,4.76
02-01-2023 06:00,6,0,18,1,15,0,22,3.81
02-01-2023 07:00,7,0,35,1,98,0,48,5.78
02-01-2023 08:00,8,0,21,0,74,0,21,4.8
02-01-2023 09:00,9,0,30,1,1,0,36,4.93
02-01-2023 10:00,10,0,17,0,80,0,17,3.64
02-01-2023 11:00,11,0,14,1,10,0,17,4.11
02-01-2023 12:00,12,0,13,0,77,0,13,3.79
02-01-2023 13:00,13,0,16,0,72,0,16,2.96
02-01-2023 14:00,14,0,15,1,23,0,18,3.78
02-01-2023 15:00,15,0,19,0,95,0,22,4.81
02-01-2023 16:00,16,0,30,0,28,0,30,5.37
02-01-2023 17:00,17,0,21,2,88,0,17,4.77
02-01-2023 18:00,18,0,28,1,84,0,39,6.07
02-01-2023 19:00,19,0,19,0,40,0,19,3.15
02-01-2023 20:00,20,0,14,2,19,0,10,3.07
02-01-2023 21:00,21,0,14,0,0,1,43,6.38
02-01-2023 22:00,22,0,4,1,24,0,5,3.53
02-01-2023 23:00,23,0,2,0,96,0,2,3.59
03-01-2023 00:00,0,1,3,1,2,0,4,3.33
03-01-2023 01:00,1,1,4,0,64,0,4,3.44
03-01-2023 02:00,2,1,1,0,41,0,1,2.46
03-01-2023 03:00,3,1,4,0,17,0,4,2
03-01-2023 04:00,4,1,1,1,6,0,1,2
03-01-2023 05:00,5,1,14,1,39,0,17,3.37
03-01-2023 06:00,6,1,14,0,76,0,14,3.29
03-01-2023 07:00,7,1,30,0,64,0,30,5.18
03-01-2023 08:00,8,1,26,1,63,0,31,4.83
03-01-2023 09:00,9,1,20,0,50,0,20,3.5
03-01-2023 10:00,10,1,16,0,33,0,16,3.66
03-01-2023 11:00,11,1,11,0,37,0,11,3.15
03-01-2023 12:00,12,1,15,0,36,0,15,2.99
03-01-2023 13:00,13,1,13,0,85,0,15,2.47
03-01-2023 14:00,14,1,17,1,55,0,20,5.14
03-01-2023 15:00,15,1,16,0,22,0,16,3.16
03-01-2023 16:00,16,1,34,0,32,0,34,6.31
03-01-2023 17:00,17,1,41,0,93,0,47,7.1
03-01-2023 18:00,18,1,30,1,73,0,36,6.23
03-01-2023 19:00,19,1,7,0,51,1,21,4.07
03-01-2023 20:00,20,1,15,0,31,0,15,3.41
03-01-2023 21:00,21,1,14,0,38,0,14,3.94
03-01-2023 22:00,22,1,2,0,51,0,2,2
03-01-2023 23:00,23,1,4,1,17,0,5,2.02
04-01-2023 00:00,0,2,2,0,98,0,2,2.1
04-01-2023 01:00,1,2,2,0,31,0,2,2.57
04-01-2023 02:00,2,2,3,0,11,0,3,2.54
04-01-2023 03:00,3,2,4,1,1,0,5,3.5
04-01-2023 04:00,4,2,3,0,64,0,3,2.81
04-01-2023 05:00,5,2,16,0,34,0,16,4.13
04-01-2023 06:00,6,2,17,0,1,0,17,3.92
04-01-2023 07:00,7,2,20,0,25,0,20,3.91
04-01-2023 08:00,8,2,29,0,21,0,29,4.22
04-01-2023 09:00,9,2,30,2,56,0,21,3.47
04-01-2023 10:00,10,2,15,0,24,0,15,4.11
04-01-2023 11:00,11,2,8,0,31,0,8,2.8
04-01-2023 12:00,12,2,15,0,58,0,15,3.97
04-01-2023 13:00,13,2,19,2,52,0,13,2.56
04-01-2023 14:00,14,2,16,1,89,0,22,3.5
04-01-2023 15:00,15,2,20,0,25,0,20,3.69
04-01-2023 16:00,16,2,24,0,77,0,24,4.85
04-01-2023 17:00,17,2,31,0,0,0,31,4.76
04-01-2023 18:00,18,2,24,0,38,0,24,3.71
04-01-2023 19:00,19,2,14,1,59,0,17,4.03
04-01-2023 20:00,20,2,7,0,53,1,29,5.39
04-01-2023 21:00,21,2,11,0,35,0,11,2.81
04-01-2023 22:00,22,2,8,1,83,0,11,2.95
04-01-2023 23:00,23,2,12,0,34,0,12,3.61
05-01-2023 00:00,0,3,2,1,60,0,2,2.19
05-01-2023 01:00,1,3,0,0,90,0,0,2.47
05-01-2023 02:00,2,3,9,0,19,0,9,2.38
05-01-2023 03:00,3,3,4,0,87,0,5,2.83
05-01-2023 04:00,4,3,2,0,2,0,2,2.56
05-01-2023 05:00,5,3,11,0,11,0,11,3.63
05-01-2023 06:00,6,3,25,0,5,0,25,4.29
05-01-2023 07:00,7,3,24,1,99,0,33,5.11
05-01-2023 08:00,8,3,41,0,36,0,41,6.5
05-01-2023 09:00,9,3,27,0,27,0,27,3.9
05-01-2023 10:00,10,3,17,0,79,0,17,4.41
05-01-2023 11:00,11,3,18,0,22,0,18,3.5
05-01-2023 12:00,12,3,8,1,40,0,10,3.82
05-01-2023 13:00,13,3,14,0,70,0,14,3.3
05-01-2023 14:00,14,3,15,0,6,0,15,4.23
05-01-2023 15:00,15,3,17,1,3,0,20,3.93
05-01-2023 16:00,16,3,37,0,90,0,43,5.91
05-01-2023 17:00,17,3,33,1,40,0,40,5.95
05-01-2023 18:00,18,3,30,1,53,0,36,5.98
05-01-2023 19:00,19,3,12,0,74,0,12,2.83
05-01-2023 20:00,20,3,12,0,45,0,12,3.44
05-01-2023 21:00,21,3,11,1,44,0,13,3.94
05-01-2023 22:00,22,3,8,0,94,0,9,2.23
05-01-2023 23:00,23,3,1,0,7,0,1,2
06-01-2023 00:00,0,4,0,0,73,0,0,2.22
06-01-2023 01:00,1,4,5,0,20,0,5,2
06-01-2023 02:00,2,4,1,0,19,0,1,2.97
06-01-2023 03:00,3,4,2,2,26,0,1,2
06-01-2023 04:00,4,4,5,0,12,0,5,3.03
06-01-2023 05:00,5,4,20,0,32,0,20,4.78
06-01-2023 06:00,6,4,12,0,13,0,12,3.2
06-01-2023 07:00,7,4,25,0,33,0,25,4.16
06-01-2023 08:00,8,4,20,0,6,0,20,4.38
06-01-2023 09:00,9,4,21,0,17,0,21,3.07
06-01-2023 10:00,10,4,11,0,60,0,11,3.04
06-01-2023 11:00,11,4,10,2,11,0,7,3.39
06-01-2023 12:00,12,4,15,0,32,0,15,3.9
06-01-2023 13:00,13,4,11,0,85,0,13,2.47
06-01-2023 14:00,14,4,15,0,59,0,15,3.91
06-01-2023 15:00,15,4,16,0,54,0,16,4.11
06-01-2023 16:00,16,4,19,0,47,0,19,3.77
06-01-2023 17:00,17,4,26,0,54,0,26,4.06
06-01-2023 18:00,18,4,33,0,16,0,33,5.39
06-01-2023 19:00,19,4,20,1,17,0,24,3.81
06-01-2023 20:00,20,4,19,2,18,0,13,3.24
06-01-2023 21:00,21,4,9,0,27,0,9,3.66
06-01-2023 22:00,22,4,5,1,84,0,7,2.67
06-01-2023 23:00,23,4,8,0,92,0,9,2.51
07-01-2023 00:00,0,5,5,0,15,0,5,2.22
07-01-2023 01:00,1,5,5,0,9,0,5,2.57
07-01-2023 02:00,2,5,0,0,96,0,0,2
07-01-2023 03:00,3,5,3,1,26,0,4,3.21
07-01-2023 04:00,4,5,1,0,31,0,1,2
07-01-2023 05:00,5,5,21,0,38,0,21,4.59
07-01-2023 06:00,6,5,15,0,74,0,15,3.97
07-01-2023 07:00,7,5,26,1,53,0,31,4.34
07-01-2023 08:00,8,5,23,1,42,0,28,4.93
07-01-2023 09:00,9,5,35,0,83,0,40,5.05
07-01-2023 10:00,10,5,10,0,94,0,12,2
07-01-2023 11:00,11,5,14,1,34,0,17,3.43
07-01-2023 12:00,12,5,11,0,95,0,13,3.55
07-01-2023 13:00,13,5,22,0,87,0,25,4.79
07-01-2023 14:00,14,5,17,1,90,0,23,4.4
07-01-2023 15:00,15,5,16,0,2,0,16,4.23
07-01-2023 16:00,16,5,31,1,35,0,37,5.91
07-01-2023 17:00,17,5,18,0,1,0,18,3.44
07-01-2023 18:00,18,5,36,1,81,0,50,7.1
07-01-2023 19:00,19,5,10,2,83,0,8,2.45
07-01-2023 20:00,20,5,15,2,79,0,10,3.81
07-01-2023 21:00,21,5,19,0,27,0,19,4.73
07-01-2023 22:00,22,5,3,0,35,0,3,2
07-01-2023 23:00,23,5,5,0,42,0,5,2.8
08-01-2023 00:00,0,6,1,0,42,0,1,2
08-01-2023 01:00,1,6,2,0,1,0,2,2
08-01-2023 02:00,2,6,3,2,51,0,2,2
08-01-2023 03:00,3,6,3,0,62,0,3,2.68
08-01-2023 04:00,4,6,5,1,96,0,7,3.93
08-01-2023 05:00,5,6,15,0,90,0,17,3.47
08-01-2023 06:00,6,6,15,0,19,0,15,3.66
08-01-2023 07:00,7,6,23,1,76,0,28,4.9
08-01-2023 08:00,8,6,25,2,59,0,18,3.68
08-01-2023 09:00,9,6,35,1,27,0,42,6.53
08-01-2023 10:00,10,6,10,0,30,0,10,2.72
08-01-2023 11:00,11,6,11,0,43,0,11,3.42
08-01-2023 12:00,12,6,14,1,55,0,17,3.82
08-01-2023 13:00,13,6,12,2,86,0,10,2.51
08-01-2023 14:00,14,6,12,0,11,0,12,3.38
08-01-2023 15:00,15,6,18,0,82,0,21,3.96
08-01-2023 16:00,16,6,25,0,93,0,29,5.04
08-01-2023 17:00,17,6,37,1,51,0,44,5.55
08-01-2023 18:00,18,6,27,1,74,0,32,5.59
08-01-2023 19:00,19,6,14,0,40,0,14,3.74
08-01-2023 20:00,20,6,16,1,14,0,19,3.36
08-01-2023 21:00,21,6,16,1,56,0,19,5.07
08-01-2023 22:00,22,6,4,0,87,0,5,2.56
08-01-2023 23:00,23,6,8,0,43,0,8,2.86
09-01-2023 00:00,0,0,5,2,14,0,4,2
09-01-2023 01:00,1,0,3,0,51,0,3,2.1
09-01-2023 02:00,2,0,6,0,85,0,7,2.53
09-01-2023 03:00,3,0,3,0,27,0,3,2.39
09-01-2023 04:00,4,0,2,0,40,0,2,2.18
09-01-2023 05:00,5,0,9,1,44,0,11,2.83
09-01-2023 06:00,6,0,10,1,79,0,12,3.74
09-01-2023 07:00,7,0,16,0,66,0,16,4.17
09-01-2023 08:00,8,0,29,0,54,0,29,5.09
09-01-2023 09:00,9,0,26,0,79,0,26,3.81
09-01-2023 10:00,10,0,13,0,56,0,13,3.64
09-01-2023 11:00,11,0,17,1,53,0,20,4.17
09-01-2023 12:00,12,0,17,2,2,0,12,3.89
09-01-2023 13:00,13,0,12,1,40,0,14,3.04
09-01-2023 14:00,14,0,17,0,24,0,17,3.07
09-01-2023 15:00,15,0,14,0,37,0,14,3.73
09-01-2023 16:00,16,0,32,1,75,0,38,6.35
09-01-2023 17:00,17,0,25,1,85,0,34,5.7
09-01-2023 18:00,18,0,30,1,82,0,41,5.49
09-01-2023 19:00,19,0,15,0,85,0,17,4.58
09-01-2023 20:00,20,0,15,0,34,0,15,3.62
09-01-2023 21:00,21,0,18,0,32,0,18,4.32
09-01-2023 22:00,22,0,1,0,73,0,1,2
09-01-2023 23:00,23,0,6,0,64,0,6,2
10-01-2023 00:00,0,1,9,0,50,0,9,3.51
10-01-2023 01:00,1,1,3,0,0,0,3,2.39
10-01-2023 02:00,2,1,6,0,92,0,7,2.46
10-01-2023 03:00,3,1,4,0,17,0,4,3.1
10-01-2023 04:00,4,1,3,0,58,0,3,2.54
10-01-2023 05:00,5,1,16,0,75,0,16,4.07
10-01-2023 06:00,6,1,21,1,19,0,25,3.84
10-01-2023 07:00,7,1,26,0,55,0,26,3.7
10-01-2023 08:00,8,1,25,0,53,0,25,3.82
10-01-2023 09:00,9,1,24,0,89,0,28,5.27
10-01-2023 10:00,10,1,17,0,19,0,17,3.88
10-01-2023 11:00,11,1,16,0,77,0,16,2.74
10-01-2023 12:00,12,1,17,0,4,0,17,3.67
10-01-2023 13:00,13,1,14,2,99,0,11,3.56
10-01-2023 14:00,14,1,14,0,50,0,14,3.69
10-01-2023 15:00,15,1,13,0,55,0,13,3.9
10-01-2023 16:00,16,1,21,0,92,0,24,4.44
10-01-2023 17:00,17,1,28,0,6,0,28,4.63
10-01-2023 18:00,18,1,24,0,91,0,28,4.71
10-01-2023 19:00,19,1,11,0,70,0,11,3.34
10-01-2023 20:00,20,1,17,0,45,0,17,3.19
10-01-2023 21:00,21,1,12,1,75,0,14,3.61
10-01-2023 22:00,22,1,2,1,2,0,2,2.43
10-01-2023 23:00,23,1,4,0,13,0,4,2.49
11-01-2023 00:00,0,2,4,0,11,0,4,2.19
11-01-2023 01:00,1,2,1,0,15,0,1,2.75
11-01-2023 02:00,2,2,4,0,59,0,4,2
11-01-2023 03:00,3,2,7,0,27,0,7,2.57
11-01-2023 04:00,4,2,3,2,45,0,2,2.07
11-01-2023 05:00,5,2,20,0,87,0,23,3.75
11-01-2023 06:00,6,2,13,0,52,0,13,3.44
11-01-2023 07:00,7,2,23,1,31,0,28,6.11
11-01-2023 08:00,8,2,21,1,98,0,29,5.24
11-01-2023 09:00,9,2,25,0,22,0,25,4.86
11-01-2023 10:00,10,2,15,0,90,0,17,2.98
11-01-2023 11:00,11,2,20,0,99,0,23,3.91
11-01-2023 12:00,12,2,21,1,57,0,25,4.57
11-01-2023 13:00,13,2,15,0,59,0,15,3.56
11-01-2023 14:00,14,2,19,1,51,0,23,5.36
11-01-2023 15:00,15,2,11,0,63,0,11,3.08
11-01-2023 16:00,16,2,25,0,16,0,25,5.17
11-01-2023 17:00,17,2,29,0,63,0,29,5.64
11-01-2023 18:00,18,2,31,0,52,0,31,4.66
11-01-2023 19:00,19,2,12,0,68,0,12,2.72
11-01-2023 20:00,20,2,15,0,51,0,15,3.66
11-01-2023 21:00,21,2,15,2,73,0,10,2.32
11-01-2023 22:00,22,2,4,0,66,0,4,2.22
11-01-2023 23:00,23,2,0,0,56,0,0,2
12-01-2023 00:00,0,3,5,1,79,0,6,2.78
12-01-2023 01:00,1,3,4,1,79,0,5,2.29
12-01-2023 02:00,2,3,1,1,51,0,1,2
12-01-2023 03:00,3,3,1,0,6,0,1,2.19
12-01-2023 04:00,4,3,5,2,85,0,4,3.34
12-01-2023 05:00,5,3,19,2,85,0,15,3.82
12-01-2023 06:00,6,3,17,0,76,0,17,2.67
12-01-2023 07:00,7,3,17,0,2,0,17,3.51
12-01-2023 08:00,8,3,22,1,94,0,30,4.98
12-01-2023 09:00,9,3,22,0,62,0,22,4.66
12-01-2023 10:00,10,3,11,1,42,0,13,3.47
12-01-2023 11:00,11,3,16,0,80,0,16,3.29
12-01-2023 12:00,12,3,11,1,62,0,13,2.95
12-01-2023 13:00,13,3,15,0,50,0,15,3.73
12-01-2023 14:00,14,3,10,0,96,0,12,3.16
12-01-2023 15:00,15,3,11,0,58,0,11,3.22
12-01-2023 16:00,16,3,31,1,28,0,37,6.35
12-01-2023 17:00,17,3,28,0,2,0,28,4.6
12-01-2023 18:00,18,3,23,0,57,0,23,4.76
12-01-2023 19:00,19,3,12,0,25,0,12,2.94
12-01-2023 20:00,20,3,13,0,40,0,13,2.96
12-01-2023 21:00,21,3,12,0,28,0,12,3.04
12-01-2023 22:00,22,3,5,0,58,0,5,2.4
12-01-2023 23:00,23,3,6,0,49,0,6,2.8
13-01-2023 00:00,0,4,6,1,66,0,7,2.42
13-01-2023 01:00,1,4,4,0,45,0,4,2.22
13-01-2023 02:00,2,4,4,0,38,0,4,3.16
13-01-2023 03:00,3,4,4,0,14,0,4,2
13-01-2023 04:00,4,4,2,0,75,0,2,2.3
13-01-2023 05:00,5,4,18,1,18,0,22,3.75
13-01-2023 06:00,6,4,13,0,61,0,13,3.02
13-01-2023 07:00,7,4,24,0,44,0,24,3.93
13-01-2023 08:00,8,4,22,1,69,0,26,3.83
13-01-2023 09:00,9,4,20,0,54,0,20,4.6
13-01-2023 10:00,10,4,14,0,39,0,14,2.89
13-01-2023 11:00,11,4,20,0,9,0,20,4.91
13-01-2023 12:00,12,4,10,0,90,0,12,3.35
13-01-2023 13:00,13,4,20,0,97,0,23,4.31
13-01-2023 14:00,14,4,10,0,71,0,10,3.34
13-01-2023 15:00,15,4,13,0,37,0,13,2.95
13-01-2023 16:00,16,4,27,0,74,0,27,4.95
13-01-2023 17:00,17,4,39,1,27,0,47,6.97
13-01-2023 18:00,18,4,34,0,72,0,34,4.77
13-01-2023 19:00,19,4,7,0,1,0,7,2.48
13-01-2023 20:00,20,4,17,1,4,0,20,4.54
13-01-2023 21:00,21,4,15,0,11,0,15,3.84
13-01-2023 22:00,22,4,2,1,20,0,2,2.82
13-01-2023 23:00,23,4,4,0,31,0,4,2.2
14-01-2023 00:00,0,5,2,1,44,0,2,2.34
14-01-2023 01:00,1,5,4,1,41,0,5,2.6
14-01-2023 02:00,2,5,6,0,1,0,6,2
14-01-2023 03:00,3,5,7,0,56,0,7,3.3
14-01-2023 04:00,4,5,4,2,81,0,3,2.74
14-01-2023 05:00,5,5,13,0,72,0,13,3.35
14-01-2023 06:00,6,5,15,0,34,0,15,3.46
14-01-2023 07:00,7,5,25,0,21,0,25,4.35
14-01-2023 08:00,8,5,20,0,78,0,20,3.58
14-01-2023 09:00,9,5,25,0,13,0,25,4.01
14-01-2023 10:00,10,5,14,0,18,0,14,2.54
14-01-2023 11:00,11,5,12,0,11,0,12,2.73
14-01-2023 12:00,12,5,13,2,19,0,9,3.84
14-01-2023 13:00,13,5,13,1,63,0,16,3.51
14-01-2023 14:00,14,5,18,2,44,0,13,3.16
14-01-2023 15:00,15,5,20,0,25,0,20,3.09
14-01-2023 16:00,16,5,44,0,8,0,44,6.54
14-01-2023 17:00,17,5,36,2,54,0,25,5.11
14-01-2023 18:00,18,5,31,0,58,0,31,5.19
14-01-2023 19:00,19,5,17,0,39,0,17,3.11
14-01-2023 20:00,20,5,15,0,68,0,15,3.99
14-01-2023 21:00,21,5,13,0,55,0,13,3.39
14-01-2023 22:00,22,5,7,0,70,0,7,2.54
14-01-2023 23:00,23,5,4,0,76,0,4,2
15-01-2023 00:00,0,6,4,0,28,0,4,2
15-01-2023 01:00,1,6,5,0,59,0,5,2.1
15-01-2023 02:00,2,6,2,0,90,0,2,2
15-01-2023 03:00,3,6,3,0,22,0,3,2.19
15-01-2023 04:00,4,6,4,0,99,0,5,2.11
15-01-2023 05:00,5,6,5,1,97,0,7,2.63
15-01-2023 06:00,6,6,15,0,34,0,15,3.06
15-01-2023 07:00,7,6,23,0,0,0,23,3.94
15-01-2023 08:00,8,6,24,0,25,0,24,4
15-01-2023 09:00,9,6,26,0,16,0,26,5.07
15-01-2023 10:00,10,6,14,0,55,0,14,3.54
15-01-2023 11:00,11,6,16,1,60,0,19,3.53
15-01-2023 12:00,12,6,18,0,20,0,18,4.09
15-01-2023 13:00,13,6,17,0,19,0,17,3.67
15-01-2023 14:00,14,6,17,0,71,0,17,3.9
15-01-2023 15:00,15,6,20,0,13,0,20,3.7
15-01-2023 16:00,16,6,24,2,97,0,19,3.78
15-01-2023 17:00,17,6,26,0,87,0,30,3.73
15-01-2023 18:00,18,6,25,2,62,0,18,3.91
15-01-2023 19:00,19,6,12,1,45,0,14,4.3
15-01-2023 20:00,20,6,16,0,60,0,16,3.24
15-01-2023 21:00,21,6,16,1,5,0,19,4.66
15-01-2023 22:00,22,6,3,0,75,0,3,2
15-01-2023 23:00,23,6,3,0,95,0,3,2.82
16-01-2023 00:00,0,0,3,1,51,0,4,2
16-01-2023 01:00,1,0,6,0,69,0,6,3.13
16-01-2023 02:00,2,0,5,1,23,0,6,3.14
16-01-2023 03:00,3,0,7,0,45,0,7,3.03
16-01-2023 04:00,4,0,2,0,40,0,2,2.77
16-01-2023 05:00,5,0,12,0,87,0,14,3.55
16-01-2023 06:00,6,0,20,1,64,0,24,3.35
16-01-2023 07:00,7,0,23,0,59,0,23,4.57
16-01-2023 08:00,8,0,22,2,64,0,15,3.33
16-01-2023 09:00,9,0,30,0,42,0,30,4.37
16-01-2023 10:00,10,0,21,0,26,0,21,3.53
16-01-2023 11:00,11,0,10,1,55,0,12,3.56
16-01-2023 12:00,12,0,22,0,1,0,22,4.43
16-01-2023 13:00,13,0,20,0,50,0,20,4.21
16-01-2023 14:00,14,0,11,0,59,0,11,2.74
16-01-2023 15:00,15,0,14,0,60,0,14,2.64
16-01-2023 16:00,16,0,15,0,20,0,15,4.15
16-01-2023 17:00,17,0,32,0,95,0,37,6.15
16-01-2023 18:00,18,0,25,1,6,0,30,4.38
16-01-2023 19:00,19,0,11,0,3,0,11,4.03
16-01-2023 20:00,20,0,19,2,89,0,15,4.15
16-01-2023 21:00,21,0,20,0,48,0,20,4.42
16-01-2023 22:00,22,0,5,0,32,0,5,3.65
16-01-2023 23:00,23,0,6,0,83,0,7,2.71
17-01-2023 00:00,0,1,5,2,58,0,4,2
17-01-2023 01:00,1,1,7,0,23,0,7,2.48
17-01-2023 02:00,2,1,3,2,73,0,2,2.43
17-01-2023 03:00,3,1,6,2,76,0,4,2.23
17-01-2023 04:00,4,1,3,0,93,0,3,2.17
17-01-2023 05:00,5,1,17,0,69,0,17,3.27
17-01-2023 06:00,6,1,17,2,30,0,12,3.29
17-01-2023 07:00,7,1,19,1,59,0,23,4.85
17-01-2023 08:00,8,1,25,0,5,0,25,4.9
17-01-2023 09:00,9,1,27,0,19,0,27,4.35
17-01-2023 10:00,10,1,15,0,68,0,15,3.33
17-01-2023 11:00,11,1,19,0,19,0,19,2.52
17-01-2023 12:00,12,1,17,1,84,0,23,4.35
17-01-2023 13:00,13,1,24,1,91,0,33,4.86
17-01-2023 14:00,14,1,17,0,80,0,17,3.85
17-01-2023 15:00,15,1,11,0,60,0,11,3.8
17-01-2023 16:00,16,1,33,2,33,0,23,4.99
17-01-2023 17:00,17,1,32,0,58,0,32,3.63
17-01-2023 18:00,18,1,29,0,62,0,29,5.25
17-01-2023 19:00,19,1,20,0,66,0,20,4.78
17-01-2023 20:00,20,1,15,1,55,0,18,3.04
17-01-2023 21:00,21,1,11,0,21,0,11,3.24
17-01-2023 22:00,22,1,4,0,39,0,4,2.5
17-01-2023 23:00,23,1,6,1,66,0,7,3.08
18-01-2023 00:00,0,2,2,0,46,0,2,2.37
18-01-2023 01:00,1,2,7,0,54,0,7,3.24
18-01-2023 02:00,2,2,1,0,38,0,1,3.12
18-01-2023 03:00,3,2,3,2,48,0,2,2.21
18-01-2023 04:00,4,2,5,0,93,0,6,2.85
18-01-2023 05:00,5,2,16,0,75,0,16,3.79
18-01-2023 06:00,6,2,18,1,90,0,25,4.31
18-01-2023 07:00,7,2,30,0,83,0,34,5.47
18-01-2023 08:00,8,2,23,0,78,0,23,4.33
18-01-2023 09:00,9,2,22,1,21,0,26,5.03
18-01-2023 10:00,10,2,14,0,5,0,14,3.2
18-01-2023 11:00,11,2,21,1,91,0,29,4.6
18-01-2023 12:00,12,2,14,1,15,0,17,3.3
18-01-2023 13:00,13,2,15,0,76,0,15,3.37
18-01-2023 14:00,14,2,15,0,13,0,15,3.26
18-01-2023 15:00,15,2,18,1,85,0,25,4.3
18-01-2023 16:00,16,2,37,0,31,0,37,5.53
18-01-2023 17:00,17,2,43,0,81,0,49,5.93
18-01-2023 18:00,18,2,23,0,10,0,23,4.8
18-01-2023 19:00,19,2,16,1,88,0,22,3.75
18-01-2023 20:00,20,2,20,0,2,0,20,4.02
